docx: C:\tangyapeng\docs\StarGather\sad_sdd_proj\c1_sdd_linux-ipcs\fuck.docx
replaced: 138

index	svg	cx_emu	cy_emu	cy_old	viewbox_w	viewbox_h
68	3_4_36.svg	2602037	2710133	2710134	337.0	351.0
69	3_4_37.svg	4599015	3495588	3495588	546.0	415.0
70	3_4_38.svg	3760214	4663592	4663592	487.0	604.0
71	3_4_39.svg	4363168	2602739	2602739	518.0	309.0
72	3_4_40.svg	3394511	2602739	2602739	403.0	309.0
73	linux_6_3_1_ipcsShmSoftirq.svg	3984128	6047788	6047789	473.0	718.0
74	linux_6_3_2_ipcsShmHardirq.svg	3582627	4763967	4763968	464.0	617.0
75	linux_6_3_3_ipcsOsInit.svg	2470985	8892542	8892540	658.0	2368.0
76	linux_6_3_4_ipcsOsFree.svg	2741018	4540052	4540053	355.0	588.0
77	linux_6_3_5_ipcsOsGetLocalShm.svg	1853083	1065523	1065523	240.0	138.0
78	linux_6_3_6_ipcsOsGetRemoteShm.svg	1945737	1065523	1065523	252.0	138.0
79	linux_6_3_7_ipcsOsMapIntc.svg	2771903	4895227	4895227	359.0	634.0
80	linux_6_3_8_ipcsOsUnmapIntc.svg	926541	1065522	1065522	120.0	138.0
81	linux_6_3_9_ipcsOsPollChannels.svg	5011747	2467970	2467969	595.0	293.0
82	linux_6_3_10_shm_mod_init.svg	2725576	1490187	1490188	353.0	193.0
83	linux_6_3_11_shm_mod_exit.svg	2895442	1065523	1065523	375.0	138.0
84	linux_6_4_1_line_from_file.svg	2425854	9530141	6856407	294.0	1155.0
85	linux_6_4_2_line_match.svg	2358469	3840935	3840935	280.0	456.0
86	linux_6_4_3_get_uio_dev_name.svg	3204289	7196138	7196138	415.0	932.0
87	linux_6_4_4_ipcsShmSoftirq.svg	3756704	4700092	4700091	446.0	558.0
88	linux_6_4_5_ipcsOsInit.svg	2707664	8892539	8892540	855.0	2808.0
89	linux_6_4_6_ipcsOsFree.svg	3212010	7991419	7991419	416.0	1035.0
90	linux_6_4_7_ipcsOsGetLocalShm.svg	2563431	1065523	1065523	332.0	138.0
91	linux_6_4_8_ipcsOsGetRemoteShm.svg	2663806	1065522	1065522	345.0	138.0
92	linux_6_4_9_ipcsOsPollChannels.svg	4169436	2467969	2467969	495.0	293.0
93	linux_6_4_10_ipcsSendUioCmd.svg	2609758	2308632	2308632	338.0	299.0
94	linux_6_4_11_ipcsHwIrqEnable.svg	2455335	1065523	1065523	318.0	138.0
95	linux_6_4_12_ipcsHwIrqDisable.svg	2478498	1065523	1065523	321.0	138.0
96	linux_6_4_13_ipcsHwIrqNotify.svg	2509383	1065523	1065523	325.0	138.0
97	linux_6_4_14_ipcsHwInit.svg	640857	1065521	1065521	83.0	138.0
98	linux_6_4_15_ipcsHwFree.svg	563646	1065523	1065523	73.0	138.0
99	linux_6_4_17_ipcsShmUioOpen.svg	2813317	1810968	1810967	334.0	215.0
100	linux_6_4_18_ipcsShmUioRelease.svg	1119571	1490188	1490188	145.0	193.0
101	linux_6_4_19_ipcsShmUioIrqcontrol.svg	5940425	2754541	2754541	785.0	364.0
102	linux_6_4_20_ipcsShmUioHandler.svg	1559678	2339517	2339517	202.0	303.0
103	linux_6_4_21_ipcsUioInit.svg	2210350	8892539	8892540	389.0	1565.0
104	linux_6_4_22_ipcsCdevOpen.svg	2146487	2733296	2733297	278.0	354.0
105	linux_6_4_23_ipcsCdevRelease.svg	1899410	1914852	1914853	246.0	248.0
106	linux_6_4_24_ipcsCdevWrite.svg	3960965	6323646	6323646	513.0	819.0
107	linux_6_4_25_ipcsShmUioProbe.svg	3038631	8892541	8892540	585.0	1712.0
108	linux_6_4_26_ipcsShmUioRemove.svg	2957211	6748309	6748309	383.0	874.0
109	linux_6_4_27_ipcsOsMapIntc.svg	2362680	1065522	1065522	306.0	138.0
110	linux_6_4_28_ipcsOsUnmapIntc.svg	563646	1065523	1065523	73.0	138.0
111	linux_6_5_1_ipcsOsInit.svg	2890921	8892541	8892540	855.0	2630.0
112	linux_6_5_2_ipcsOsFree.svg	3312386	8385201	8385201	429.0	1086.0
113	linux_6_5_3_ipcsOsGetLocalShm.svg	2246863	1065523	1065523	291.0	138.0
114	linux_6_5_4_ipcsOsGetRemoteShm.svg	2347238	1065523	1065523	304.0	138.0
115	linux_6_5_5_ipcsOsPollChannels.svg	4169436	2467969	2467969	495.0	293.0
116	linux_6_5_6_ipcsHwIrqEnable.svg	2486219	1065522	1065522	322.0	138.0
117	linux_6_5_7_ipcsHwIrqDisable.svg	2509383	1065523	1065523	325.0	138.0
118	linux_6_5_8_ipcsHwIrqNotify.svg	2532546	1065522	1065523	328.0	138.0
119	linux_6_5_9_ipcsHwInit.svg	640857	1065521	1065521	83.0	138.0
120	linux_6_5_10_ipcsHwFree.svg	563646	1065523	1065523	73.0	138.0
121	linux_6_5_12_ipcsShmHardirq.svg	4887506	4763967	4763967	633.0	617.0
122	linux_6_5_13_ipcsOsMapIntc.svg	3343270	4779409	4779409	433.0	619.0
123	linux_6_5_14_ipcsOsUnmapIntc.svg	926541	1065522	1065522	120.0	138.0
124	linux_6_5_15_ipcsCdevOpen.svg	2560623	1810967	1810967	304.0	215.0
125	linux_6_5_16_ipcsCdevRelease.svg	1011474	1490187	1490187	131.0	193.0
126	linux_6_5_17_ipcsCdevRead.svg	2463056	1914852	1914853	319.0	248.0
127	linux_6_5_18_ipcsCdevOsInit.svg	3851694	8892541	8892540	664.0	1533.0
128	linux_6_5_19_ipcsCdevIoctl.svg	5940425	1290982	1290983	1247.0	271.0
129	linux_6_5_20_ipcsCdevInit.svg	3350991	4856621	4856621	434.0	629.0
130	linux_6_5_21_ipcsCdevClean.svg	4887506	7281071	7281071	633.0	943.0
131	linux_6_6_1_ipcsHwGetRxIrq.svg	2030670	1065523	1065523	263.0	138.0
132	linux_6_6_2_ipcsHwInit.svg	2849115	1490188	1490188	369.0	193.0
133	linux_6_6_3__ipcsHwInit.svg	5494858	8892541	8892540	1276.0	2065.0
134	linux_6_6_4_ipcsHwFree.svg	1528793	1490187	1490187	198.0	193.0
135	linux_6_6_5_ipcsHwIrqEnable.svg	2560623	2046814	2046814	304.0	243.0
136	linux_6_6_6_ipcsHwIrqDisable.svg	2577470	2046814	2046814	306.0	243.0
137	linux_6_6_7_ipcsHwIrqNotify.svg	2661701	2046814	2046814	316.0	243.0
138	linux_6_6_8_ipcsHwIrqClear.svg	2097353	2046814	2046814	249.0	243.0
